,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN
MMM,1.0,0.9471227565558723,0.9175895644468808,0.9667340285931774,0.9268253723219292,0.9620769163923342,0.9319137703642316,-0.5176731476981843,0.9671548923693242,-0.2815981500352636,0.9555096752946913,0.8786578670129337,0.9090118448087359,0.601900917752879,0.9696003469713114,0.27815079299904705,0.9461242316854853,0.8563783496134045,0.8102278755595296,0.9108737547964517,0.9718784026382384,0.8584575076350726,0.9231207695272733,0.9360175430031148,0.9694600595926597,0.8750889655124144,0.953763657589693,0.9529350777256252,0.9732695705019548,0.9364868182213736
ABT,0.9471227565558723,1.0,0.8706080710765935,0.9537401594085657,0.8906520097170855,0.9031476588377192,0.888535315736724,-0.5849514024913532,0.9561289277309687,-0.2242015970558522,0.9206697506014686,0.9144385415834086,0.876123250622782,0.5949481597551873,0.9535805317377664,0.288331823528653,0.9156600031972734,0.8528027844679141,0.7716863626047369,0.9597191888036974,0.916446704097957,0.43594452346234336,0.9276329461093552,0.9702525469769828,0.9481315812565932,0.815899462187452,0.9237752197264238,0.9232445838651795,0.9490724086904743,0.8889464782776534
ABBV,0.9175895644468808,0.8706080710765935,1.0,0.782810348857471,0.7403703139439719,0.8312264824551671,0.8683431451339909,0.1886577146555832,0.8968128095986146,0.056811190890608404,0.9055078041443535,0.1597310276530213,0.7254714731902009,0.8068422730358146,0.9289721511287753,0.7098376429451524,0.8434223847386516,0.22813041892317718,0.8414192999036784,0.6305149436747147,0.7866533352090255,0.727451311798059,0.838971825138962,0.554290424153783,0.8020820189942428,0.9278951687138264,0.7437327878792667,0.7326342328416925,0.8306828266238832,0.6709302682690442
ACN,0.9667340285931774,0.9537401594085657,0.782810348857471,1.0,0.9392256217536668,0.9590374707199089,0.9247704404067633,-0.5114049489110193,0.9635660874663182,0.04039204952258914,0.9326542341774404,0.8436671717733628,0.886363811264775,0.9250736284704223,0.9589718113661626,0.8146699544661997,0.9446283050120343,0.8923694460949789,0.7807513799716024,0.9243101296701973,0.962511021218348,0.9234988606853886,0.9112865585792495,0.9233248392955997,0.9832983944014911,0.784046568275217,0.9663504846010357,0.966029715226526,0.987557008496573,0.970802528446811
ATVI,0.9268253723219292,0.8906520097170855,0.7403703139439719,0.9392256217536668,1.0,0.9668802541851207,0.9394858041873215,-0.525572741370469,0.9084552568819882,-0.2567268695883038,0.9378605613265603,0.75985527893825,0.8848491878486587,0.5616964809333157,0.9389094665228405,0.2671120023508142,0.9046376456869794,0.8289010329852264,0.8276820272168244,0.814715857562076,0.9216509198334488,0.8950242744574811,0.8448138490188936,0.8207887327375294,0.9450687362212928,0.793159228810426,0.9417293906798139,0.9386503788583629,0.958532473942435,0.9541334438731244
AYI,0.9620769163923342,0.9031476588377192,0.8312264824551671,0.9590374707199089,0.9668802541851207,1.0,0.9634494331543693,-0.41899516425485356,0.9458448177219742,0.1085706042306052,0.9551786649398056,0.7642073493244534,0.8617080925747772,0.8793270007348767,0.9369813657451359,0.7712538494273505,0.9659089979534259,0.7837581201715176,0.7881192514473191,0.8550521632206428,0.9587847764028873,0.9439292488536182,0.9199532322918428,0.8626000922752012,0.958363990717723,0.8314554332362265,0.9560152565882873,0.9529411670388707,0.9748919594104029,0.9706144174148853
ADBE,0.9319137703642316,0.888535315736724,0.8683431451339909,0.9247704404067633,0.9394858041873215,0.9634494331543693,1.0,-0.33618950755590354,0.919646880792803,-0.06267620914803958,0.9569942578238344,0.8142114757821922,0.8744396701563353,0.6752420046627701,0.9240125421258104,0.37140766851988904,0.9265067865859107,0.7681889196342736,0.8177600096556329,0.8306346978046969,0.9330640558978569,0.9272348048296692,0.8856713168615205,0.8659307977522259,0.9325069027375925,0.8845390727591567,0.9389780152797108,0.9358785410956408,0.9301443592014829,0.9144402196338921
AMD,-0.5176731476981843,-0.5849514024913532,0.1886577146555832,-0.5114049489110193,-0.525572741370469,-0.41899516425485356,-0.33618950755590354,1.0,-0.47479200175775826,0.6108829182850297,-0.4337737119658187,-0.47006287528149515,-0.5133278545560775,0.0017964795485436965,-0.5653134205711058,0.08189753508016513,-0.4289714951654369,-0.5846464131655715,-0.3882800620504375,-0.5432908983935832,-0.4675003704652221,0.3247987590286709,-0.44425521930435063,-0.5153107613120859,-0.5013074335165497,-0.27879790912980074,-0.5031315730528261,-0.5059231799121162,-0.533283281437752,-0.48764155151405675
AAP,0.9671548923693242,0.9561289277309687,0.8968128095986146,0.9635660874663182,0.9084552568819882,0.9458448177219742,0.919646880792803,-0.47479200175775826,1.0,0.10001277654084144,0.9408511350039391,0.8541858862084775,0.8542200747409978,0.8999630261509768,0.9567653100826478,0.8271889177281463,0.965545276056689,0.8170909742126461,0.7516353522627826,0.9493307812529348,0.9351433456156286,0.7048695705557825,0.9603102546234664,0.9467577657604782,0.9528633628200698,0.8008621341760521,0.9387049859004366,0.9361470322126842,0.9699795941068722,0.9272451508755996
AES,-0.2815981500352636,-0.2242015970558522,0.056811190890608404,0.04039204952258914,-0.2567268695883038,0.1085706042306052,-0.06267620914803958,0.6108829182850297,0.10001277654084144,1.0,-0.23169155557683135,-0.20335554424570385,-0.257576089805068,0.34428562814436603,-0.26914485722325904,0.35953396225493367,-0.16068290680031524,-0.2776209835896407,-0.28464002648818293,-0.16978582466700018,-0.0627003412290654,-0.49118739667675054,-0.11683311413325187,0.04468569655423679,-0.19342406297314502,-0.16342347800544127,-0.15601628127331837,-0.15491155356942668,-0.24401751596992372,-0.2073275930704288
AET,0.9555096752946913,0.9206697506014686,0.9055078041443535,0.9326542341774404,0.9378605613265603,0.9551786649398056,0.9569942578238344,-0.4337737119658187,0.9408511350039391,-0.23169155557683135,1.0,0.8722059173244044,0.9027013007709223,0.5839785108569684,0.9562604046580672,0.30045359653395365,0.9266720778648847,0.806841319331784,0.8773215813023232,0.8536428214254547,0.919488018961022,0.9022265429247307,0.8879357940107883,0.8901609720759255,0.9452648922606147,0.9107913688184079,0.923852256520423,0.9200119720110066,0.9499061141101685,0.9045864496379721
AMG,0.8786578670129337,0.9144385415834086,0.1597310276530213,0.8436671717733628,0.75985527893825,0.7642073493244534,0.8142114757821922,-0.47006287528149515,0.8541858862084775,-0.20335554424570385,0.8722059173244044,1.0,0.888267222931424,0.5741210330854424,0.9033897684180138,0.3059462848487268,0.7874820802756954,0.8405610246177736,0.804287707976925,0.8858922310643033,0.8161520099382772,-0.5746486942464015,0.8157556824734841,0.9418284172330074,0.8614527200449197,0.8444036231443168,0.8016013729169666,0.8045354600093082,0.8304523915254723,0.7448166631283001
AFL,0.9090118448087359,0.876123250622782,0.7254714731902009,0.886363811264775,0.8848491878486587,0.8617080925747772,0.8744396701563353,-0.5133278545560775,0.8542200747409978,-0.257576089805068,0.9027013007709223,0.888267222931424,1.0,0.5365285513868585,0.9398780546530248,0.2374600675390294,0.7922894733384548,0.8935864381160016,0.8986268349203674,0.7979452672374256,0.8707791396484856,0.7273934322052,0.7610983683492805,0.8510649670972968,0.9026805549556437,0.835901689272508,0.8980308346071616,0.8999420264961683,0.8796792779102647,0.8384267577537468
A,0.601900917752879,0.5949481597551873,0.8068422730358146,0.9250736284704223,0.5616964809333157,0.8793270007348767,0.6752420046627701,0.0017964795485436965,0.8999630261509768,0.34428562814436603,0.5839785108569684,0.5741210330854424,0.5365285513868585,1.0,0.5911413021454113,0.7712736029150074,0.6467034007096856,0.5650907353695276,0.4319632893492641,0.6582004356795581,0.9049061748819676,0.5796973333925294,0.6515792610728365,0.9005906073540254,0.6557283295043543,0.47957810651165006,0.9187882648604025,0.9210311100237197,0.6182442665801988,0.6491860880519549
APD,0.9696003469713114,0.9535805317377664,0.9289721511287753,0.9589718113661626,0.9389094665228405,0.9369813657451359,0.9240125421258104,-0.5653134205711058,0.9567653100826478,-0.26914485722325904,0.9562604046580672,0.9033897684180138,0.9398780546530248,0.5911413021454113,1.0,0.2890627669728435,0.9046020001233978,0.8979910714238593,0.866473563628487,0.9003876532333173,0.932398213954474,0.8066955970525277,0.8831574346006257,0.9287134243964764,0.9637170186076595,0.8413794912326593,0.9551131343358074,0.9546198517088267,0.9610259354219924,0.9075539664698657
AKAM,0.27815079299904705,0.288331823528653,0.7098376429451524,0.8146699544661997,0.2671120023508142,0.7712538494273505,0.37140766851988904,0.08189753508016513,0.8271889177281463,0.35953396225493367,0.30045359653395365,0.3059462848487268,0.2374600675390294,0.7712736029150074,0.2890627669728435,1.0,0.3495871316663583,0.2668022607131626,0.2093443402757361,0.3632831763825143,0.7803650862001432,0.17519975844382618,0.35307464537771605,0.8380258504390249,0.3327855508832424,0.20370306174166375,0.7899840547207814,0.7899190265837963,0.3004216579524942,0.33164377193776323
ALK,0.9461242316854853,0.9156600031972734,0.8434223847386516,0.9446283050120343,0.9046376456869794,0.9659089979534259,0.9265067865859107,-0.4289714951654369,0.965545276056689,-0.16068290680031524,0.9266720778648847,0.7874820802756954,0.7922894733384548,0.6467034007096856,0.9046020001233978,0.3495871316663583,1.0,0.7332478628263163,0.6989247405386136,0.904583055616445,0.9352935001669938,0.8003204456905699,0.9651177740938693,0.9032967563336205,0.9300901329281552,0.8228790701560831,0.9409202862401452,0.9372308780513822,0.9556618060522073,0.9376082110223402
ALB,0.8563783496134045,0.8528027844679141,0.22813041892317718,0.8923694460949789,0.8289010329852264,0.7837581201715176,0.7681889196342736,-0.5846464131655715,0.8170909742126461,-0.2776209835896407,0.806841319331784,0.8405610246177736,0.8935864381160016,0.5650907353695276,0.8979910714238593,0.2668022607131626,0.7332478628263163,1.0,0.8097466667906992,0.8125718507165071,0.8431775597192849,0.4136642487411369,0.6915064931002141,0.8205025538111931,0.9021962826897914,0.6617852494914286,0.8250755005448335,0.8305562387366416,0.8682908040717243,0.8382352398458751
ARE,0.8102278755595296,0.7716863626047369,0.8414192999036784,0.7807513799716024,0.8276820272168244,0.7881192514473191,0.8177600096556329,-0.3882800620504375,0.7516353522627826,-0.28464002648818293,0.8773215813023232,0.804287707976925,0.8986268349203674,0.4319632893492641,0.866473563628487,0.2093443402757361,0.6989247405386136,0.8097466667906992,1.0,0.6551498098925987,0.7495354133959616,0.8869974217528819,0.6297789824435784,0.7077903191106183,0.8291338918380374,0.8369040662770841,0.7409104272709894,0.7387130850946508,0.8013291107742855,0.7305600812898281
ALXN,0.9108737547964517,0.9597191888036974,0.6305149436747147,0.9243101296701973,0.814715857562076,0.8550521632206428,0.8306346978046969,-0.5432908983935832,0.9493307812529348,-0.16978582466700018,0.8536428214254547,0.8858922310643033,0.7979452672374256,0.6582004356795581,0.9003876532333173,0.3632831763825143,0.904583055616445,0.8125718507165071,0.6551498098925987,1.0,0.8865424558055992,-0.2511040564034787,0.9422796911828634,0.9799857669076589,0.9056228449349547,0.7365744792242145,0.8815950132635736,0.8821945143366948,0.9119368635756111,0.8591455800420891
ALGN,0.9718784026382384,0.916446704097957,0.7866533352090255,0.962511021218348,0.9216509198334488,0.9587847764028873,0.9330640558978569,-0.4675003704652221,0.9351433456156286,-0.0627003412290654,0.919488018961022,0.8161520099382772,0.8707791396484856,0.9049061748819676,0.932398213954474,0.7803650862001432,0.9352935001669938,0.8431775597192849,0.7495354133959616,0.8865424558055992,1.0,0.788499695172007,0.9032306098623498,0.9007549530712997,0.9615272709107628,0.8216550025510684,0.9620454576844079,0.9617598655081859,0.9615276373902206,0.9628455063283524
ALLE,0.8584575076350726,0.43594452346234336,0.727451311798059,0.9234988606853886,0.8950242744574811,0.9439292488536182,0.9272348048296692,0.3247987590286709,0.7048695705557825,-0.49118739667675054,0.9022265429247307,-0.5746486942464015,0.7273934322052,0.5796973333925294,0.8066955970525277,0.17519975844382618,0.8003204456905699,0.4136642487411369,0.8869974217528819,-0.2511040564034787,0.788499695172007,1.0,0.41998057773693537,-0.35313311624416205,0.8519090048159192,0.7360393604895852,0.7941183735819676,0.7839642716243389,0.9000215096558558,0.8536946809469292
AGN,0.9231207695272733,0.9276329461093552,0.838971825138962,0.9112865585792495,0.8448138490188936,0.9199532322918428,0.8856713168615205,-0.44425521930435063,0.9603102546234664,-0.11683311413325187,0.8879357940107883,0.8157556824734841,0.7610983683492805,0.6515792610728365,0.8831574346006257,0.35307464537771605,0.9651177740938693,0.6915064931002141,0.6297789824435784,0.9422796911828634,0.9032306098623498,0.41998057773693537,1.0,0.9404528871536219,0.8903822635560678,0.7947837692948189,0.9130913374841988,0.9101491961905187,0.9151982102156255,0.8796562380844293
ADS,0.9360175430031148,0.9702525469769828,0.554290424153783,0.9233248392955997,0.8207887327375294,0.8626000922752012,0.8659307977522259,-0.5153107613120859,0.9467577657604782,0.04468569655423679,0.8901609720759255,0.9418284172330074,0.8510649670972968,0.9005906073540254,0.9287134243964764,0.8380258504390249,0.9032967563336205,0.8205025538111931,0.7077903191106183,0.9799857669076589,0.9007549530712997,-0.35313311624416205,0.9404528871536219,1.0,0.9101847148732268,0.8035358361408566,0.8916053050907312,0.8926216246255751,0.906533962482345,0.8499573343960686
LNT,0.9694600595926597,0.9481315812565932,0.8020820189942428,0.9832983944014911,0.9450687362212928,0.958363990717723,0.9325069027375925,-0.5013074335165497,0.9528633628200698,-0.19342406297314502,0.9452648922606147,0.8614527200449197,0.9026805549556437,0.6557283295043543,0.9637170186076595,0.3327855508832424,0.9300901329281552,0.9021962826897914,0.8291338918380374,0.9056228449349547,0.9615272709107628,0.8519090048159192,0.8903822635560678,0.9101847148732268,1.0,0.8339570493807961,0.9630284042797724,0.9630193388536576,0.9875728244218006,0.9531849866081792
ALL,0.8750889655124144,0.815899462187452,0.9278951687138264,0.784046568275217,0.793159228810426,0.8314554332362265,0.8845390727591567,-0.27879790912980074,0.8008621341760521,-0.16342347800544127,0.9107913688184079,0.8444036231443168,0.835901689272508,0.47957810651165006,0.8413794912326593,0.20370306174166375,0.8228790701560831,0.6617852494914286,0.8369040662770841,0.7365744792242145,0.8216550025510684,0.7360393604895852,0.7947837692948189,0.8035358361408566,0.8339570493807961,1.0,0.7671784832197094,0.7646862893755616,0.8194203654466061,0.7473833056214941
GOOGL,0.953763657589693,0.9237752197264238,0.7437327878792667,0.9663504846010357,0.9417293906798139,0.9560152565882873,0.9389780152797108,-0.5031315730528261,0.9387049859004366,-0.15601628127331837,0.923852256520423,0.8016013729169666,0.8980308346071616,0.9187882648604025,0.9551131343358074,0.7899840547207814,0.9409202862401452,0.8250755005448335,0.7409104272709894,0.8815950132635736,0.9620454576844079,0.7941183735819676,0.9130913374841988,0.8916053050907312,0.9630284042797724,0.7671784832197094,1.0,0.9997991285649891,0.9635686902723711,0.9540421688390104
GOOG,0.9529350777256252,0.9232445838651795,0.7326342328416925,0.966029715226526,0.9386503788583629,0.9529411670388707,0.9358785410956408,-0.5059231799121162,0.9361470322126842,-0.15491155356942668,0.9200119720110066,0.8045354600093082,0.8999420264961683,0.9210311100237197,0.9546198517088267,0.7899190265837963,0.9372308780513822,0.8305562387366416,0.7387130850946508,0.8821945143366948,0.9617598655081859,0.7839642716243389,0.9101491961905187,0.8926216246255751,0.9630193388536576,0.7646862893755616,0.9997991285649891,1.0,0.9619988046249482,0.9524442598838948
MO,0.9732695705019548,0.9490724086904743,0.8306828266238832,0.987557008496573,0.958532473942435,0.9748919594104029,0.9301443592014829,-0.533283281437752,0.9699795941068722,-0.24401751596992372,0.9499061141101685,0.8304523915254723,0.8796792779102647,0.6182442665801988,0.9610259354219924,0.3004216579524942,0.9556618060522073,0.8682908040717243,0.8013291107742855,0.9119368635756111,0.9615276373902206,0.9000215096558558,0.9151982102156255,0.906533962482345,0.9875728244218006,0.8194203654466061,0.9635686902723711,0.9619988046249482,1.0,0.9703643820085748
AMZN,0.9364868182213736,0.8889464782776534,0.6709302682690442,0.970802528446811,0.9541334438731244,0.9706144174148853,0.9144402196338921,-0.48764155151405675,0.9272451508755996,-0.2073275930704288,0.9045864496379721,0.7448166631283001,0.8384267577537468,0.6491860880519549,0.9075539664698657,0.33164377193776323,0.9376082110223402,0.8382352398458751,0.7305600812898281,0.8591455800420891,0.9628455063283524,0.8536946809469292,0.8796562380844293,0.8499573343960686,0.9531849866081792,0.7473833056214941,0.9540421688390104,0.9524442598838948,0.9703643820085748,1.0
